id,date,x,y,nn5,nn6,access_type,distance_to_road,terrain_type,area,volume,composition_construction,composition_natural,composition_communal,composition_communal_large,composition_dangerous,dangerous_waste_description,photo_id1,photo_id2,photo_id3,description,unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11
1183,2010-04-18 14:32:28,14.6232274707089,46.1655325872886,,,1,0,1,15,10,100,0,0,0,0,,28461,,,,,23,,,,,,,,,
1659,2010-04-18 14:27:08,14.2489858346282,45.5600671735429,,,1,3,1,30,60,20,10,20,50,,<p>Odpad pred hišo.</p>,29250,29251,,,,38,323,,,,,,,,
1845,2010-04-18 14:31:54,13.5368688381972,46.016662078694,,,1,1,1,3,1.5,40,,,,60,<p>6 azbestnih cevi</p>,29510,,,,,7,,,,,,,,,
128,2010-04-03 20:56:31,16.1416458144228,46.5990688741698,,,2,5,1,10,5,20,10,30,40,,"<p>Bivše, delno sanirano odlagališče odpadkov.</p>",,,,,,188,28,,,,,,,,
4405,2010-04-18 14:23:41,16.2951171305287,46.6407976825734,,,1,3,1,1,0.5,,,100,,,,,,,,,132,1293,,,,,,,,
129,2010-04-03 20:56:30,16.1851654244526,46.5822744698823,,,1,10,1,50,7,25,25,20,30,,"<p>Bivše, delno sanirano odlagališče odpadkov.</p>",,,,,,188,26,,,,,,,,
2678,2010-04-18 14:26:25,14.6250901555647,46.0732764542401,,,1,0,1,20,10,40,30,,20,,,30928,,,,,61,1820,,,,,,,,
822,2010-04-18 14:25:08,13.8222452095737,46.068670958481,,,1,1,1,10,15,,,,,100,<p>2 zapuščena motorna vozila</p>,,,,<p>Ob cesti Polog -ravno Brdo</p>,,128,,,,,,,,,
176,2010-04-03 20:56:30,16.1780049733726,46.5690089009037,,,2,5,1,100,20,40,25,15,20,,<p>Odpadki odvrženi v obliki kupov na območju velikosti cca. 20 arov.</p>,24015,24016,24017,,,188,25,,,,,,,,
4406,2010-04-18 14:31:19,16.3288852718431,46.6114687364641,,,1,1,1,2,0.1,,,100,,,<p>stara oblačila</p>,,,,,,132,,,,,,,,,
177,2010-04-18 14:38:05,16.1675166127316,46.5887624418768,,,1,0,1,2,0.3,,,,100,,<p>Ob robu kolovozne poti v gozd odvržena klop.</p>,24018,,,,,188,,,,,,,,,
666,2010-04-11 21:15:05,14.445914135447,46.0408788439915,,,1,300,1,80,20,,,100,,,<p>večinoma avtomobilske gume</p>,,,,<p>že očiščeno!</p>,,61,1820,,,,,,,,
823,2010-04-03 21:28:29,15.3221048512454,45.8839441490411,,,1,2,1,16,1,,,100,,,"<p>PVC ZABOJNIKI, PNEVMATIKE</p>",,,,,,121,1674,,,,,,,,
824,2010-04-03 21:28:30,15.3293054270209,45.885356705972,,,2,250,1,4,1,,,,100,,<p>HLADILNIKI</p>,,,,,,121,1671,,,,,,,,
825,2010-04-03 21:28:30,15.3293957229,45.883725599541,,,2,350,1,4,1,,,,100,,"<p>SEDEŽNA GARNITURA, OTROŠKI VOZIČEK</p>",,,,,,121,1671,,,,,,,,
826,2010-04-03 21:28:30,15.3293957229,45.883725599541,,,2,350,1,4,1,,,,100,,"<p>SEDEŽNA GARNITURA, OTOŠKI VOZIČEK</p>",,,,,,121,1671,,,,,,,,
1846,2010-04-18 14:28:44,13.5699733505458,46.0389823080558,,,1,5,2,10,0.3,,,50,,50,<p>azbestna ponjava</p>,29512,,,,,7,,,,,,,,,
827,2010-04-03 21:28:30,15.3280123985551,45.8851152023478,,,2,300,1,100,8,,,,50,50,"<p>AVTOMOBILSKI DELI, PNEVMATIKE, HLADILNIKI, OBLAČILA</p>",,,,,,121,1671,,,,,,,,
828,2010-04-03 21:28:30,15.3267413248783,45.883661170326,,,2,400,1,6,1,,,,100,,"<p>LESENI KOLUTI, AVTOMOBILSKA PLASTIKA</p>",,,,,,121,1671,,,,,,,,
829,2010-04-03 21:28:30,15.325218270767,45.882621733054,,,2,450,1,60,8,50,,,50,,"<p>BETONSKA OPEKA, AVTOMOBILSKI DELI</p>",,,,,,121,1671,,,,,,,,
4407,2010-04-18 14:25:28,16.3213670527741,46.6007775157077,,,1,15,1,5,0.5,,,,100,,,,,,,,132,1288,,,,,,,,
830,2010-04-03 21:28:29,15.3317066816054,45.8987317598445,,,1,30,1,6,1,,,,100,,"<p>PNEVMATIKE, HLADILNIK</p>",,,,,,121,1674,,,,,,,,
1184,2010-04-18 14:24:07,14.5925525673261,46.118972306553,,,1,0,1,6,10,90,5,0,0,5,"<p>O,5 m3 salonitnih plošč</p>",28463,28464,,,,23,,,,,,,,,
1305,2010-04-18 14:31:19,13.6288603386121,46.0693864196997,,,1,2,1,50,50,90,,8,,2,<p>DEPONIJA OB POTOKU RAZNEGA GRADBENEGA MATERIALA.</p>,28751,32895,32894,,,44,389,,,,,,,,
1306,2010-04-18 14:26:17,13.6291113629253,46.063372297884,,,1,0,1,5,1,,,100,,,<p>LEGLO PLOČEVINK</p>,28754,,,,,44,384,,,,,,,,
755,2010-04-18 14:28:05,13.6006021372017,45.8833025614997,,,2,300,2,200,30,10,70,5,10,5,"<p>neugotovljeno PVC embalaža (plastične kante), salonitke.</p>",34497,34498,34499,<p>t.i. kraju Štanta</p>,,75,948,,,,,,,,
4408,2010-04-18 14:36:43,16.3250732643317,46.5996731155955,,,1,3,1,10,4,80,,20,,,,,,,,,132,1288,,,,,,,,
4409,2010-04-18 14:36:19,16.3272704000064,46.5993148166775,,,1,2,1,10,4,80,,20,,,,,,,,,132,1288,,,,,,,,
4410,2010-04-18 14:28:58,16.3270135090912,46.5978783061258,,,1,2,1,20,10,50,,50,,,,,,,,,132,1288,,,,,,,,
831,2010-04-04 12:30:32,13.4366485796331,46.2523564415307,,,4,60,2,100,2,,,100,,0,<p>Komunalni odpadki</p>,,,,<p>Ob lokalni cesti Breginj - Logje (strmo pobočje proti strugi potoka Bela)</p>,,46,1801,,,,,,,,
4411,2010-04-18 14:27:20,16.327394128584,46.5958226331484,,,1,3,1,10,3,20,,80,,,,,,,,,132,1288,,,,,,,,
4412,2010-04-18 14:37:44,16.330427907129,46.5955265563951,,,1,2,1,8,1,,,100,,,,,,,,,132,1288,,,,,,,,
832,2010-04-18 14:22:33,13.7224198545822,45.8836107621558,,,1,3,1,3,5,,,,,100,<p>Zapuščeno vozilo</p>,,,,<p>Ob stari stavbi Doma upokojencev Gradišče nad Prvačino</p>,,84,,,,,,,,,
833,2010-04-18 14:22:44,13.78524899972,45.8655370972435,,,1,1,1,9,6,,,,,100,<p>salonitne plošče</p>,,,,<p>za starro cvetličarno v Braniku</p>,,84,,,,,,,,,
4413,2010-04-18 14:19:57,16.3026950583454,46.5983191764212,,,1,2,1,2,1,,,,,100,<p>Azbestne plošče</p>,,,,,,132,,,,,,,,,
4414,2010-04-18 14:21:38,16.301055933287,46.5990935198406,,,1,4,1,8,2,,,100,,,,,,,,,132,1288,,,,,,,,
834,2010-04-18 14:32:32,13.790746110411,45.8573534925588,,,2,70,1,5,5,,,,,100,<p>Karoserija OA</p>,,,,<p>Branik - po kolovozni poti v trte v bližini mostu ob kontejnerjih</p>,,84,,,,,,,,,
835,2010-04-04 12:23:35,15.5051025213905,45.9086513456551,,,1,50,1,4000,50,10,10,60,10,10,"<p>PLASTIKA,  GUME, POHIŠTVO</p>",,,,,,54,1813,,,,,,,,
4415,2010-04-18 14:20:31,15.0460272865755,46.3848147399022,,,1,30,1,15,5,40,,,60,,,33938,,,,,126,1917,,,,,,,,
836,2010-04-18 14:31:59,13.7897684323941,45.8744750675044,,,1,10,2,20,20,100,,,,0,"<p>Gradbeni odpadki (opeka, strešniki, beton,.)</p>",,,,<p>Ob poti Preserje - Sv. Katarina</p>,,84,,,,,,,,,
2423,2010-04-18 14:33:26,13.7432984287247,46.0758213493083,,,2,20,3,10,2,,,20,80,,,,,,<p>20 METROV IZVEN NASELJA KAČJA DRAGA</p>,,44,397,,,,,,,,
2424,2010-04-18 14:29:30,14.5564444798544,46.128506322363,,,1,30,1,10,8,10,,,,90,<p>asfalt 7 m3</p>,30509,,,,,186,,,,,,,,,
837,2010-03-22 20:12:20,15.3663884865882,46.2817613065186,,,4,10,3,150,250,20,5,20,50,5,,,,,<p>POZOR<br/>Odpadki so razpršeni v krogu 50 m od označene lokacije.</p>,,120,,,,,,,,,
838,2010-04-18 14:23:01,13.6543635449802,46.1305711576417,,,1,5,1,2,1,50,,50,,0,"<p>ploščice, beton, deli plastičnih cevi</p>",,,,<p>Cesta Kambreško - Rog (bivše odlagališče smeti)</p>,,44,386,,,,,,,,
4416,2010-04-18 14:35:00,15.0488790413633,46.3747369895681,,,1,20,1,20,10,30,,,70,,,33939,,,,,126,1917,,,,,,,,
1012,2010-04-03 22:21:13,15.364313567271,45.6642792161534,,,1,30,1,400,500,50,10,20,20,0,,,,,,,73,1836,,,,,,,,
890,2010-04-18 14:33:25,13.9370282376274,45.7069074411681,,,1,3,3,25,5,50,10,30,10,10,"<p>v majhni kotanji, odloženi odpadki (salonitke, nekaj gradbenega materiala,nekaj plastičnih zabojčkov, stiropr,...)</p>",,,,,,111,57,,,,,,,,
891,2010-04-18 14:26:40,13.9656437038206,45.7697680549097,,,1,20,1,20,25,10,,10,65,15,,,,,,,111,1073,,,,,,,,
893,2010-04-18 14:35:19,15.6029902996895,46.1707405189443,,,1,150,2,10,5,,,30,70,,"<p>V gozdu ležijo stari štedilniki, kolesa in podobni kosovni odpadki.</p>",,,,,,92,45,,,,,,,,
895,2010-04-18 14:40:39,13.8603659298724,45.7657095751991,,,2,1600,1,10,1,,,,100,,<p>kabina manjšega tovornjaka</p>,,,,,,111,2064,,,,,,,,
897,2010-04-18 14:24:27,15.854258842888,46.3524671350824,,,1,10,1,60,30,10,50,,40,,,,,,,,135,511,,,,,,,,
1424,2010-04-04 13:08:27,14.7123617157557,45.8241086740776,,,2,200,3,500,3,,,40,60,,,,,,<p>Delno zasuti kosovni odpadki drugi odpadki razmetani po grmovju.</p>,,20,897,,,,,,,,
898,2010-04-18 14:32:39,15.8501456185872,46.3820521328234,,,1,30,1,10,5,40,40,20,,,<p>V Okolici Vodnega zajetja last komunalnega podjetja Ptuj v gozdu leži večvrst različnih odpadkov.</p>,,,,,,135,500,,,,,,,,
1417,2010-04-16 16:38:22,14.5294933070172,46.0916195012265,,,3,20,1,20,3,,,,20,80,<p>1 m3 pnevmatik</p>,28926,,,"<p>Odlagališče se nahaja sredi gozdička med grmičevjem, v manjših kotanjah.</p>",,61,1419,,,,,,,,
1425,2010-04-18 14:29:36,15.9182278268587,46.4179009190665,,,2,60,1,80,20,55,30,10,5,,,28937,28938,,,,96,1868,,,,,,,,
1426,2010-04-18 14:27:56,15.9187178823381,46.4176450796867,,,1,10,1,200,1,20,,70,10,,,28939,28940,,,,96,1868,,,,,,,,
1427,2010-04-18 14:29:35,15.9188391383715,46.4182828948397,,,1,5,1,20,0.5,10,,80,10,,,28941,28942,28943,,,96,,,,,,,,,
900,2010-04-18 14:35:53,15.8428318657233,46.3773225426688,,,1,30,1,10,2,,,,,100,"<p>V bližini čebelnjaka, čebelarskega društva lancova vas, je v gozdu osebniavtomobil, R5. rdeče barve, kateri je delno demoliran.</p>",,,,,,135,,,,,,,,,
4417,2010-04-18 14:31:27,15.0803022427927,46.3878916374362,,,1,30,3,20,5,,,20,80,,,33940,33941,,,,126,1917,,,,,,,,
902,2010-04-18 14:42:31,15.6914944019044,46.5227553709642,,,1,50,1,5,3,100,,,,100,"<p>Razpršeni gradbeni odpadki in 0,5m salonitne plošče</p>",24305,24306,24304,,,70,,,,,,,,,
1042,2010-04-18 14:30:37,15.7111103458908,45.938505234147,,,1,0,1,450,1000,70,15,5,5,5,,,,,,,9,1752,,,,,,,,
1043,2010-04-18 14:25:08,15.6787674822884,45.8733226256636,,,1,50,3,20000,10,20,70,5,5,,,,,,,,9,122,,,,,,,,
1044,2010-04-18 14:27:48,15.5917302256057,45.901563627487,,,3,50,1,4,3,,,,,100,<p>Pnevmatike</p>,,,,,,9,,,,,,,,,
4816,2010-04-18 14:22:15,14.0291833995325,46.4400168807015,,,1,2,1,30,10,50,,,50,,,,,,,,41,1795,,,,,,,,
1045,2010-04-18 14:42:34,13.5734642222019,46.0138325831411,,,3,65,2,3,3.5,,,,,100,<p>karoserija OA</p>,24553,,,"<p>težko dostopno, obstaja nevarnost da bo avto zgrmel po strmini</p>",,7,,,,,,,,,
1046,2010-04-18 14:39:44,15.6840252818661,45.9456691977512,,,2,500,1,10,5,,,5,60,35,<p>Ob potoku Negor. Odpadki raztrešeni po vsej dolžini potoka.</p>,,,,,,9,1752,,,,,,,,
1047,2010-04-18 14:36:34,15.5599408738005,45.9266056467956,,,1,0,1,500,100,50,,50,,,,,,,,,9,103,,,,,,,,
1048,2010-04-04 12:25:20,14.3595149321231,46.2361187737789,,,1,20,2,200,10,20,20,20,40,,<p>Pobočje je polno gostilniških odpadkov</p>,,,,,,52,1810,,,,,,,,
4946,2010-04-18 14:26:41,16.2587165629943,46.5125307717575,,,1,100,1,3,0.5,,,100,,,,,,,,,63,1822,,,,,,,,
1088,2010-04-04 00:25:44,14.511492844342,46.0480413697198,,,3,10,2,10,5,,,,100,,,,,,<p>Odlagališče je na pobočju v gozdu kakih 10 m zahodno pod Mačjo stezo.</p>,,61,1309,,,,,,,,
1090,2010-04-18 14:20:33,15.1200632980418,45.7011034008833,,,1,100,1,20,0.3,,,100,,,,,,,,,85,,,,,,,,,
1091,2010-04-18 14:33:07,15.6216707806379,46.257378081142,,,4,10,2,3500,60,20,20,20,20,20,,,,,,,106,,,,,,,,,
5036,2010-04-18 14:24:02,14.4178373972731,45.9648711004029,,,2,200,1,10,10,100,,,,,,34721,,,,,8,,,,,,,,,
1092,2010-04-18 14:29:01,15.6308092570641,46.2636712875092,,,1,10,2,25000,5,0,0,50,30,20,"<p>pločevinke, plastenke, vrečke</p>",,,,,,106,1881,,,,,,,,
5866,2010-04-18 14:32:24,15.8815398692033,46.3501239434706,,,1,5,2,100,3,30,,,70,,,,,,,,135,511,,,,,,,,
1181,2010-04-18 14:25:54,14.603375370656,46.1549906798743,,,1,0,1,16,17,30,65,5,0,0,,28456,28457,,,,23,204,,,,,,,,
6305,2010-04-18 14:31:06,15.9718605166046,46.5190276079028,,,2,50,1,20,10,20,20,20,20,20,,,,,,,182,,,,,,,,,
787,2010-04-18 14:26:04,14.0454576174692,45.6262623092562,,,2,400,2,20,5,,,,100,,,,,,,,19,1764,,,,,,,,
115,2010-04-04 12:23:22,15.513113063681,45.9241997671293,,,1,50,1,5000,200,20,20,20,20,20,<p>bivša vojaška raketna baza...</p><p>POZOR</p><p>Odpadki so razpršeni v krogu 250 m od označene lokacije.</p>,,,,,,54,196,,,,,,,,
2425,2010-04-16 16:38:24,14.549969449011,46.0823979167174,,,1,5,1,10,4,,,,100,,<p>(odpadki: pohištvo)</p>,30510,,,,,61,1419,,,,,,,,
116,2010-03-22 19:57:34,15.529257625024,45.8467095658833,,,4,100,2,100,100,20,20,20,20,20,,,,,<p>POZOR</p><p>Odpadki so razpršeni 60 m proti S in proti J od označene lokacije.</p>,,54,,,,,,,,,
119,2010-04-04 12:59:51,15.7668023409606,46.5126397182962,,,1,5,1,20,30,5,,20,70,5,"<p>Avto deli, ostanki barv<br/><a href="""">vsbcesar@gmail.com</a></p>",,,,,,26,334,,,,,,,,
120,2010-04-04 12:59:52,15.7679115314505,46.4929729664795,,,1,2,1,10,3,,,80,20,,"<p>Neurejena odlagališča okoli EKO otoka</p><p><a href="""">vsbcesar@mail.com</a></p>",,,,,,26,566,,,,,,,,
121,2010-04-18 14:43:20,14.3124884217853,46.3667926356922,,,3,50,1,10,25,30,70,,,0,,,,,,,131,,,,,,,,,
4,2010-04-18 14:28:44,15.612320735329,46.3764272986841,,,1,20,2,5,3,30,,10,10,50,"<p>cca. 10 računalnikov in nekaj televizij, gume, plastika</p>",23810,,,,,113,1606,,,,,,,,
5,2010-04-18 14:32:38,13.9631779574053,45.6254004853927,,,1,100,1,100,400,40,60,,,,"<p>gradbeni material, zemeljski izkop, kovine, steklo, plastika</p>",23814,,,,,35,,,,,,,,,
7,2010-04-04 13:41:15,15.2681434927045,46.2586031529428,,,1,2,1,25,30,60,,20,20,0,,23810,30694,30698,<p>POZOR<br/>Potrebno je pregledati območje ob cesti v dolžini 150 m v obe smeri od označenelokacije.</p>,,11,1297,,,,,,,,
9,2010-04-18 14:22:49,14.8888305252148,45.9469303284603,,,1,2,1,10,4,20,,,50,30,"<p>Gume; skrinja, tekstil</p>",23816,,,,,39,1793,,,,,,,,
10,2010-04-18 14:36:43,13.8257498248919,45.8986751160255,,,2,500,2,10,3,,,,100,,"<p>Odvržene stare avtomobiljske karoserije (4-5), ki jih imajo srne za svojeskrivališče.</p>",,,,,,1,1314,,,,,,,,
13,2010-04-05 19:45:35,13.7341640454051,45.5305296418631,,,1,0,1,300,2,,,80,20,0,,23820,23822,,"<p>Komunalni in kosovni odpadki v kanalu ob cesti v dolžini cca. 200m.Priporočljivo s sabo vzeti kakšo orodje, ker je kanal precej zaraščen.</p>",,50,1479,,,,,,,,
14,2010-04-18 14:43:18,15.2791929976676,45.8399857635645,,,1,400,3,400,1600,30,50,,20,,,,,,,,119,,,,,,,,,
15,2010-04-05 19:46:53,13.7917079109512,45.5450939732759,,,1,800,1,60,2,70,,,30,,,,,,,,50,766,,,,,,,,
16,2010-04-05 19:46:31,13.7799252377437,45.548391165602,,,1,200,1,10,1,50,,,50,,,,,,,,50,890,,,,,,,,
17,2010-04-05 19:47:28,13.8742381012741,45.5255051731396,,,2,50,2,10,2,20,,,80,,,,,,,,50,672,,,,,,,,
18,2010-04-05 19:47:52,13.8878350573289,45.5283382417199,,,1,100,1,50,2,,,100,,,,,,,,,50,1381,,,,,,,,
19,2010-04-05 19:47:52,13.9125195754366,45.5208773233539,,,1,0,2,50,2,,,100,,,,,,,,,50,1381,,,,,,,,
20,2010-04-05 19:45:35,13.7466136275136,45.5386291374767,,,1,100,1,3,1,,,100,,,"<p>razpršeni komunalni odpadki: pločevinke piva, plastenke...</p>",,,,,,50,1479,,,,,,,,
855,2010-04-03 21:42:42,15.2645916845921,45.6578563521354,,,1,5,3,300,200,30,30,20,20,1,,,,,,,109,1195,,,,,,,,
52,2010-04-04 16:16:44,15.4339829441113,46.4507285474928,,,3,1000,2,4,3,,,100,,0,,23840,,,,,113,2008,,,,,,,,
24,2010-04-04 13:01:14,15.0304121697911,46.5672124647893,,,2,500,3,100,50,50,,,50,,,,,,,,25,559,,,,,,,,
25,2010-04-04 13:01:14,15.037122620103,46.5579372935789,,,1,20,2,50,10,50,,50,,,,,,,,,25,559,,,,,,,,
26,2010-04-04 13:01:14,15.034528580048,46.5701105867249,,,1,20,1,50,5,50,,50,,,,,,,,,25,559,,,,,,,,
27,2010-04-27 20:04:14,14.3743793744122,46.2606109493452,,,1,50,3,200,50,50,,20,10,20,<p>sežiganje nevarnih snovi in plastike</p>,,,,,,52,1810,0,,,,,,,
28,2010-04-04 12:25:20,14.3872271195071,46.2624083209276,,,1,20,2,100,20,70,,10,20,,<p>odlaganje v kanjon reke Kokre</p>,,,,,,52,1810,,,,,,,,
29,2010-04-04 12:25:20,14.3846224438763,46.2587054081265,,,1,30,2,50,20,50,10,10,30,,<p>odlaganje v kanjon reke Kokre</p>,,,,,,52,1810,,,,,,,,
31,2010-04-04 12:29:13,14.8492596657423,45.6803178399574,,,2,50,1,20,3,,,,100,,<p>10 kosov starih televizorjev</p>,23828,,,,,48,210,,,,,,,,
32,2010-04-04 12:29:14,14.8492130490801,45.6785901406381,,,2,150,3,10,5,,,,100,,<p>1 avtomobilska školjka ki je tam že 20 let</p>,23829,,,,,48,210,,,,,,,,
33,2010-04-18 14:35:35,13.9635269175687,45.6228256689804,,,1,50,1,1000,2500,50,40,,9,1,<p>azbestne kritine</p>,23830,,,,,35,,,,,,,,,
35,2010-04-18 14:29:32,13.9146925144109,45.7264457709248,,,1,160,1,4,2,,,50,50,,,,,,,,111,340,,,,,,,,
36,2010-03-18 13:28:08,13.9153737597117,45.7266141337111,,,1,320,1,2,1,,,,,100,,,,,,,111,,,,,,,,,
37,2010-04-18 14:29:33,13.913100127743,45.7246460024996,,,1,190,1,30,5,40,10,20,30,,,35184,,,,,111,340,,,,,,,,
38,2010-04-18 14:23:17,13.9138843292225,45.7216436232837,,,1,370,1,20,2,30,,20,50,,,,,,,,111,340,,,,,,,,
39,2010-04-18 14:42:34,13.9139091347447,45.7230115680644,,,1,370,1,5,1,,,100,,,,,,,,,111,340,,,,,,,,
41,2010-04-18 14:22:48,13.861104717614,45.7213442336719,,,1,290,1,10,2,,,,100,,,,,,,,111,1089,,,,,,,,
42,2010-04-18 14:29:34,13.8639421203523,45.7195279506767,,,1,560,1,5,3,,,,100,,,24164,,,,,111,1089,,,,,,,,
44,2010-04-18 14:42:06,13.8751174559515,45.7004008819645,,,1,10,3,100,50,,,30,60,10,<p>Od nevarnih odpadkov je opaziti manjši kos salonitne plošče in avtomobilskiakumulator.</p>,24168,,,<table cellpadding=0 border=0 cellspacing=0><tbody><tr><td align=left><p>MATEJKR</p></td><td align=left><p>15.02.2010 13:48:03</p></td></tr></tbody></table><p>Zavod za gozdove Slovenije (Matej Kravanja) predlaga naslednje spremembe:</p><p>Količina odpadkov bi lahko bila tudi manjša. Od nevarnih odpadkov je opazitimanjši kos salonitne plošče in avtomobilski akumulator. Prilagamo tudi slikoDSC00124_Gropada_4.jpeg.</p>,,111,340,,,,,,,,
45,2010-03-17 08:04:54,13.8490523241445,45.6983769437826,,,1,50,3,8500,2000,70,10,5,15,,,29601,,,,,111,,,,,,,,,
48,2010-04-18 14:21:16,13.8536354991404,45.7084560434869,,,1,20,1,50,3,,,,100,,,,,,,,111,1087,,,,,,,,
49,2010-04-18 14:40:07,13.8619434115687,45.7034126514017,,,1,300,1,1370,100,30,10,20,40,,<p>POZOR<br/>Potrebno je pregledati področje v krogu 70 m od označene lokacije. Področjeonesnaženosti sega tudi na drugo stran ceste.</p>,,,,,,111,1087,,,,,,,,
51,2010-04-18 14:26:44,15.878920331357,46.3004143929017,,,2,500,2,10,1,,,,,100,<p>embalaže škropiv in drugih stupov</p>,,,,,,172,,,,,,,,,
53,2010-04-18 14:25:45,13.9521318412191,45.6719083255626,,,1,30,1,10,2,,,,100,,,29806,,,,,111,1635,,,,,,,,
